Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação,,,
2019,12,MEDICINA,76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Universidade,Pública Municipal,3677,Educação Presencial,4202404,Blumenau,SC,81,81,51.5395,2.5981,61.4136,2.7513,2.713,3
2019,12,MEDICINA,81,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Universidade,Privada sem fins lucrativos,20058,Educação Presencial,4209102,Joinville,SC,90,89,56.4056,3.5535,63.8191,3.3396,3.3931,4
2019,12,MEDICINA,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Universidade,Privada sem fins lucrativos,69624,Educação Presencial,4209003,Joaçaba,SC,51,50,53.044,2.8935,64.102,3.4088,3.2799,4
2019,12,MEDICINA,83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Universidade,Privada sem fins lucrativos,19434,Educação Presencial,4208203,Itajaí,SC,81,79,50.1937,2.3338,61.462,2.7631,2.6558,3
2019,12,MEDICINA,93,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,Faculdade,Pública Municipal,4082,Educação Presencial,3525904,Jundiaí,SP,80,80,57.4775,3.7639,59.9312,2.3888,2.7326,3
2019,12,MEDICINA,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Universidade,Pública Federal,120983,Educação Presencial,3122306,Divinópolis,MG,53,53,55.7019,3.4153,65.9887,3.8702,3.7565,4
2019,12,MEDICINA,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Universidade,Pública Federal,1216474,Educação Presencial,3162500,São João del Rei,MG,26,26,57.0038,3.6709,67.2462,4.1777,4.051,5
2019,12,MEDICINA,124,UNIVERSIDADE DE ARARAQUARA,UNIARA,Universidade,Privada sem fins lucrativos,87941,Educação Presencial,3503208,Araraquara,SP,96,96,48.7521,2.0508,62.0406,2.9046,2.6912,3
2019,12,MEDICINA,138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Centro Universitário,Privada sem fins lucrativos,19850,Educação Presencial,3543402,Ribeirão Preto,SP,59,59,49.7,2.2369,62.061,2.9096,2.7415,3
2019,12,MEDICINA,140,UNIVERSIDADE DE VASSOURAS,,Universidade,Privada sem fins lucrativos,4503,Educação Presencial,3306206,Vassouras,RJ,159,155,55.5942,3.3942,66.7832,4.0645,3.8969,4
2019,12,MEDICINA,143,UNIVERSIDADE DE UBERABA,UNIUBE,Universidade,Privada sem fins lucrativos,20360,Educação Presencial,3170107,Uberaba,MG,134,133,50.2361,2.3422,65.7985,3.8237,3.4533,4
2019,12,MEDICINA,149,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,Faculdade,Pública Estadual,4720,Educação Presencial,3549805,São José do Rio Preto,SP,81,81,63.3778,4.9224,66.0346,3.8814,4.1416,5
2019,12,MEDICINA,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,18594,Educação Presencial,3304557,Rio de Janeiro,RJ,237,235,45.4396,1.4004,55.8523,1.3913,1.3936,2
2019,12,MEDICINA,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,5001183,Educação Presencial,3304557,Rio de Janeiro,RJ,28,27,33.4519,0,39.4926,0,0,1
2019,12,MEDICINA,190,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,EMSM,Faculdade,Privada sem fins lucrativos,5345,Educação Presencial,3304557,Rio de Janeiro,RJ,171,170,50.8659,2.4658,58.3135,1.9932,2.1113,3
2019,12,MEDICINA,208,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Universidade,Privada sem fins lucrativos,18447,Educação Presencial,3543402,Ribeirão Preto,SP,125,125,52.1088,2.7099,62.7016,3.0663,2.9772,4
2019,12,MEDICINA,222,CENTRO UNIVERSITÁRIO DE VOTUPORANGA,UNIFEV,Centro Universitário,Privada sem fins lucrativos,5000978,Educação Presencial,3557105,Votuporanga,SP,62,62,52.6468,2.8155,66.6661,4.0358,3.7308,4
2019,12,MEDICINA,224,Centro Universitário Saúde ABC,CUSABC,Centro Universitário,Privada sem fins lucrativos,5909,Educação Presencial,3547809,Santo André,SP,110,110,52.6227,2.8108,59.8755,2.3751,2.484,3
2019,12,MEDICINA,226,CENTRO UNIVERSITÁRIO LUSÍADA,UNILUS,Centro Universitário,Privada sem fins lucrativos,5920,Educação Presencial,3548500,Santos,SP,111,110,50.4382,2.3819,59.7609,2.3471,2.3558,3
2019,12,MEDICINA,271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Universidade,Privada sem fins lucrativos,6496,Educação Presencial,3541406,Presidente Prudente,SP,259,257,57.3903,3.7468,58.8311,2.1197,2.5265,3
2019,12,MEDICINA,284,FACULDADE DE MEDICINA DE ITAJUBÁ,FMIT,Faculdade,Privada sem fins lucrativos,6711,Educação Presencial,3132404,Itajubá,MG,79,79,54.8899,3.2559,56.6759,1.5927,2.0085,3
2019,12,MEDICINA,295,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,Universidade,Privada sem fins lucrativos,91399,Educação Presencial,4316808,Santa Cruz do Sul,RS,63,63,53.0349,2.8917,63.5175,3.2658,3.1723,4
2019,12,MEDICINA,307,FACULDADE DE MEDICINA DE BARBACENA,FAME,Faculdade,Privada sem fins lucrativos,7105,Educação Presencial,3105608,Barbacena,MG,118,116,54.4284,3.1653,59.3922,2.257,2.484,3
2019,12,MEDICINA,308,UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS,UNIPAC,Centro Universitário,Privada sem fins lucrativos,65924,Educação Presencial,3136702,Juiz de Fora,MG,39,39,50.2205,2.3391,56.6769,1.5929,1.7795,2
2019,12,MEDICINA,316,UNIVERSIDADE NOVE DE JULHO,UNINOVE,Universidade,Privada sem fins lucrativos,82224,Educação Presencial,3550308,São Paulo,SP,90,89,55.482,3.3721,65.0461,3.6396,3.5728,4
2019,12,MEDICINA,319,UNIVERSIDADE BRASIL,,Universidade,Privada sem fins lucrativos,65114,Educação Presencial,3515509,Fernandópolis,SP,101,100,40.789,0.4874,47.294,0,0.1218,1
